Action,Keyword ID,Keyword,Match Type,Status,Bid,Campaign ID,Ad Group ID
,2315479049,the floor voice chat,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315479048,the floor uninterrupted,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315479047,always on voice chat,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315479046,hands free talk app,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315479045,silent call app,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315479044,no ring call,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315479043,call without ringing,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315479042,talk without calling,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315452241,drop in audio,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315452240,audio room app,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315452239,voice channel app,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315452238,voice chat with friends,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315452237,group voice chat,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315452236,voice chat app,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315452235,ptt app,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315452234,push to talk app,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315452233,push to talk,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315452232,walkie talkie phone,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315452231,walkie talkie app,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315452230,phone intercom,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315452229,home intercom app,EXACT,ACTIVE,0.64,2144685544,2151113798
,2315452228,intercom app,EXACT,ACTIVE,0.64,2144685544,2151113798
